source,target
19011,2521527
19011,1600254
19011,1152
19011,3331792
19011,120578
19011,16811
19011,3910768
19011,2823180
19011,1884692
19011,2701107
19011,2005811
19011,1173480
19011,4737861
146687,146687
146687,74266
146687,944538
146687,2830394
146687,971346
146687,3492377
146687,3492379
146687,3492380
146687,1884692
146687,2701107
74266,74266
74266,1884692
74266,2701107
1884692,1884692
1884692,2701107
2701107,2701107
1897,1897
1897,18471
1897,77896
1897,5726
77896,77896
77896,18471
1224841,1224841
1224841,539
1224841,111513
539,529
539,530
539,532
539,539
539,111513
539,1192274
539,132354
111513,3223
111513,16828
111513,103
111513,111513
111513,1192274
111513,132354
2395,9309
2395,57551
2395,5726
2395,1430
2395,2395
2395,2282
2395,16418
2395,8534
2395,1121
2395,3392
2395,350
2395,24045
2395,172069
2395,1215522
2395,1896
2395,515
2395,1650331
2395,1735828
2395,53397
2395,14639
2395,23626
2395,1212794
2395,16513
2395,32395
2395,1227911
2395,27769
2395,7904
2395,2157
2395,380
2395,14837
2395,78798
1735828,14386
1735828,84932
1735828,53397
1735828,1735828
53397,138986
53397,53397
53397,7904
53397,167662
53397,2384929
170497,83170
170497,2395
170497,5916
170497,9206
170497,214317
170497,13716
170497,117180
170497,170497
170497,4491
170497,56322
4491,4491
4491,56322
56322,56322
56322,61110
56322,7447
56322,78798
56322,70615
56322,14837
56322,5823
56322,3141
56322,707
56322,1733801
56322,225377
56322,2787905
56322,169200
2682390,2682390
2682390,2227
2682390,4430
2227,2227
2227,4430
2227,3894
2227,15189
2227,18514
2227,4955
2227,1884692
2227,2701107
2227,19011
4430,380
4430,4430
4430,4517
4430,1212
4430,4111
4430,2395
4430,11770
4430,515
4430,349
4430,6449
4430,516
4430,1813
4430,2165
4430,4726
4430,226366
14837,14837
14837,5823
14837,166772
14837,14
14837,194836
14837,115002
14837,7447
14837,6240
14837,21411
14837,206637
14837,32395
14837,1227911
14837,27769
14837,3141
14837,1895
5823,5823
5823,61303
5823,1729824
5823,4111
5823,1813
5823,290
5823,3141
5823,83600
5823,482044
3141,3141
3141,3223
3141,16828
3141,103
3141,237405
3141,2165
3141,4726
3141,226366
1068417,2283
1068417,1068417
1068417,77072
1068417,56367
77072,77072
77072,56367
56367,82702
56367,54421
56367,16450
56367,21037
56367,1800494
56367,1775343
56367,56367
14386,14386
14386,84932
14386,1214573
14386,93527
14386,2522829
14386,23678
14386,35806
14386,37934
14386,15310
14386,12207
14386,82702
14386,65605
14386,167662
14386,1564846
14386,1473281
14386,1896
14386,229579
14386,220717
14386,1229925
14386,15762
14386,1680929
84932,84932
84932,4720
84932,59785
84932,16450
84932,104779
84932,81129
84932,1214573
84932,1610514
84932,93527
84932,197315
84932,37934
84932,15310
84932,12207
84932,1680929
1680929,93527
1680929,1214573
1680929,1680929
102786,13611
102786,10750
102786,8261
102786,4724
102786,46432
102786,50576
102786,2954
102786,2301996
102786,102786
102786,1258041
102786,2521527
102786,1600254
102786,93527
102786,1173480
102786,1116399
102786,18802
102786,128550
102786,2320880
102786,1152
102786,3331792
102786,120578
102786,103
102786,2134341
102786,964843
102786,210695
102786,1236577
102786,67273
102786,4381182
102786,1184450
102786,1965392
102786,7063
102786,1326448
102786,70651
102786,78798
102786,70615
102786,1884692
102786,2701107
102786,19011
102786,2882914
102786,4026758
102786,4706028
128550,116341
128550,128550
128550,1107983
128550,1280183
128550,1006651
128550,2320880
128550,1884692
128550,2701107
128550,19011
2320880,2320880
3223,3223
3223,16828
3223,237405
3223,564
3223,584
3223,32233
3223,103
3223,172069
3223,1215522
3223,1896
3223,2037
3223,5081
3223,1892
3223,154782
3223,154783
3223,174875
3223,16483
3223,1100
3223,1218634
16828,16828
16828,103
16828,172069
16828,1215522
16828,1896
16828,39995
103,204
103,103
103,2282
103,74568
103,172069
103,1215522
103,1896
103,2366
103,150367
10850,172069
10850,1215522
10850,1896
10850,2395
10850,1735828
10850,53397
10850,10850
10850,87173
10850,91606
87173,87173
87173,91606
91606,91606
91606,34546
91606,3223
91606,16828
91606,74568
91606,76070
